Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Type
WiiU,2014,Shooter,20000,0,0,0,portable
X360,2014,Racing,350000,430000,0,70000,console
PS3,2013,Action,70000,100000,0,40000,console
X360,2006,Strategy,0,0,10000,0,console
PS3,2011,Shooter,120000,130000,0,50000,console
PS4,2014,Action,40000,50000,40000,20000,console
PS2,2005,Action,180000,140000,0,50000,console
PSV,2015,Action,0,60000,0,20000,portable
3DS,2014,Action,0,0,170000,0,portable
PC,2011,Sports,0,30000,0,10000,pc
PS2,2003,Action,90000,70000,0,20000,console
PSP,2008,Sports,60000,130000,0,60000,portable
PC,2006,Racing,0,20000,0,0,pc
PC,2015,Role-Playing,500000,630000,0,100000,pc
PS,2000,Action,170000,120000,0,20000,console
PS2,2003,Strategy,0,0,600000,0,console
GBA,2002,Role-Playing,940000,350000,0,20000,portable
DS,2010,Misc,0,0,60000,0,portable
GC,2003,Racing,30000,10000,0,0,console
3DS,2012,Simulation,160000,20000,530000,10000,portable
DS,2006,Platform,0,0,170000,0,portable
PSP,2009,Action,0,0,20000,0,portable
DS,2007,Simulation,630000,50000,0,60000,portable
NES,1987,Role-Playing,0,0,1250000,0,console
PC,2008,Shooter,0,20000,0,0,pc
Wii,2010,Misc,430000,0,0,30000,console
N64,1999,Sports,0,0,180000,0,console
DS,2007,Puzzle,100000,0,0,10000,portable
DS,2009,Role-Playing,0,0,150000,0,portable
PC,2012,Shooter,0,20000,0,10000,pc
PS,2000,Role-Playing,200000,140000,4099999,20000,console
X360,2011,Action,70000,50000,30000,10000,console
PS2,2004,Racing,1230000,1110000,0,340000,console
PS4,2016,Role-Playing,0,0,220000,0,console
PSP,2005,Adventure,190000,410000,0,220000,portable
PSP,2010,Adventure,0,0,20000,0,portable
PS,2001,Fighting,0,0,460000,30000,console
PSP,2011,Sports,0,0,130000,0,portable
PS2,2005,Action,440000,20000,0,70000,console
PC,2004,Simulation,20000,240000,0,50000,pc
XB,2006,Sports,420000,120000,0,10000,console
GBA,2004,Strategy,0,0,80000,0,portable
PS,1997,Fighting,190000,130000,0,20000,console
GBA,2003,Shooter,20000,10000,0,0,portable
DS,2012,Puzzle,0,10000,0,0,portable
PSP,2011,Strategy,0,0,340000,0,portable
GC,2003,Shooter,60000,20000,0,0,console
SNES,1995,Role-Playing,0,0,130000,0,console
PS3,2009,Shooter,190000,210000,10000,80000,console
XB,2006,Sports,970000,30000,0,30000,console
XB,2006,Sports,10000,0,0,0,console
PSP,2005,Sports,110000,0,0,10000,portable
X360,2010,Adventure,0,0,20000,0,console
GC,2003,Strategy,10000,0,0,0,console
DS,2008,Misc,0,0,40000,0,portable
PS2,2005,Action,40000,30000,0,10000,console
DS,2007,Platform,10000,0,0,0,portable
GBA,2002,Puzzle,40000,10000,0,0,portable
PSP,2010,Strategy,0,0,20000,0,portable
X360,2009,Shooter,2670000,890000,50000,370000,console
PS3,2014,Sports,360000,350000,0,140000,console
GBA,2004,Adventure,170000,60000,0,0,portable
DS,2008,Platform,0,0,150000,0,portable
PS3,2014,Role-Playing,10000,0,110000,0,console
X360,2016,Sports,40000,0,0,10000,console
PSP,2011,Strategy,0,0,10000,0,portable
PSV,2013,Adventure,10000,40000,0,10000,portable
XB,2003,Misc,80000,20000,0,0,console
PC,2010,Role-Playing,0,30000,0,10000,pc
PS,1997,Puzzle,180000,120000,0,20000,console
DS,2007,Puzzle,280000,10000,30000,20000,portable
PS2,2004,Sports,180000,140000,0,50000,console
PS2,2010,Misc,0,0,20000,0,console
GBA,2003,Fighting,10000,0,0,0,portable
GC,2006,Sports,90000,20000,0,0,console
DS,2005,Platform,90000,0,20000,10000,portable
XB,2003,Action,50000,20000,0,0,console
2600,1982,Action,290000,20000,0,0,console
PSV,2015,Misc,0,0,50000,0,portable
Wii,2010,Shooter,10000,10000,0,0,console
PS3,2011,Racing,90000,0,0,10000,console
DS,2007,Action,0,0,110000,0,portable
DS,2007,Platform,0,0,140000,0,portable
XB,2002,Simulation,30000,10000,10000,0,console
X360,2006,Racing,110000,10000,0,10000,console
PC,2006,Strategy,0,40000,0,10000,pc
GBA,2002,Racing,10000,0,0,0,portable
PS,2001,Role-Playing,0,0,1200000,10000,console
PSV,2016,Action,20000,60000,10000,20000,portable
PSV,2012,Sports,180000,0,0,20000,portable
Wii,2011,Misc,6050000,3150000,0,1070000,console
GBA,2004,Misc,130000,50000,0,0,portable
PS,1996,Misc,20000,10000,160000,10000,console
GC,2005,Platform,50000,10000,0,0,console
DS,2008,Action,470000,10000,0,40000,portable
PSV,2013,Strategy,0,0,30000,0,portable
PS2,2009,Misc,50000,40000,0,10000,console
DS,2009,Simulation,60000,0,0,0,portable
PS2,2006,Strategy,40000,30000,0,10000,console
PS2,2005,Role-Playing,30000,30000,0,10000,console
Wii,2009,Sports,350000,0,0,20000,console
PS2,2007,Sports,0,0,20000,0,console
GC,2002,Action,50000,10000,0,0,console
SNES,1994,Action,0,0,30000,0,console
PS2,2005,Racing,330000,10000,0,50000,console
PSP,2011,Adventure,0,0,20000,0,portable
PS,1998,Shooter,50000,30000,0,10000,console
PS2,2005,Sports,520000,410000,0,140000,console
3DS,2015,Strategy,140000,50000,10000,20000,portable
Wii,2009,Misc,300000,0,0,20000,console
PS2,2007,Simulation,0,0,60000,0,console
GEN,1994,Role-Playing,0,0,140000,0,console
PSP,2009,Simulation,80000,0,0,10000,portable
PC,2013,Adventure,0,30000,0,0,pc
X360,2005,Racing,490000,30000,30000,50000,console
Wii,2009,Action,80000,10000,10000,10000,console
PSV,2015,Adventure,0,0,30000,0,portable
3DS,2011,Racing,180000,0,0,10000,portable
Wii,2007,Action,130000,10000,0,10000,console
PS,1999,Role-Playing,50000,30000,0,10000,console
N64,1998,Shooter,160000,40000,0,0,console
PC,2015,Sports,0,10000,0,0,pc
DS,2005,Puzzle,260000,0,310000,20000,portable
N64,1999,Action,620000,180000,650000,20000,console
PSP,2005,Platform,100000,0,0,10000,portable
PSP,2009,Action,240000,100000,0,70000,portable
PS3,2012,Action,720000,540000,40000,250000,console
NES,1990,Action,1740000,250000,210000,30000,console
3DS,2011,Action,160000,30000,0,10000,portable
3DS,2011,Role-Playing,460000,290000,1960000,70000,portable
DS,2008,Adventure,0,0,10000,0,portable
PS2,2004,Misc,40000,30000,0,10000,console
WiiU,2014,Misc,0,0,90000,0,portable
SAT,1994,Simulation,0,0,280000,0,console
PC,2006,Sports,0,20000,0,0,pc
PS,1999,Platform,90000,60000,0,10000,console
PS4,2015,Role-Playing,20000,10000,50000,10000,console
PSP,2011,Sports,220000,30000,0,30000,portable
DS,2004,Misc,100000,0,0,10000,portable
PS2,2000,Sports,180000,140000,0,50000,console
PS2,2001,Racing,1190000,170000,0,50000,console
PS3,2014,Action,90000,120000,60000,50000,console
DS,2007,Strategy,60000,0,0,0,portable
DS,2008,Simulation,180000,0,0,10000,portable
XB,2005,Action,60000,20000,0,0,console
PS,1998,Strategy,20000,10000,0,0,console
Wii,2010,Strategy,0,0,150000,0,console
3DS,2015,Platform,90000,80000,60000,20000,portable
PS3,2008,Adventure,120000,50000,0,20000,console
XB,2003,Shooter,170000,50000,0,10000,console
NES,1985,Shooter,650000,140000,210000,0,console
X360,2011,Misc,80000,10000,0,10000,console
GBA,2004,Sports,350000,130000,0,10000,portable
SNES,1995,Sports,0,0,50000,0,console
PSP,2006,Sports,60000,0,0,0,portable
GC,2004,Sports,110000,30000,0,0,console
DS,2007,Adventure,320000,60000,640000,40000,portable
PS2,2005,Sports,1530000,50000,0,250000,console
X360,2008,Role-Playing,160000,20000,10000,20000,console
X360,2009,Fighting,70000,10000,0,10000,console
XB,2004,Sports,70000,20000,0,0,console
PS2,2001,Racing,50000,40000,0,10000,console
X360,2007,Action,120000,230000,0,50000,console
PSP,2005,Puzzle,70000,0,0,10000,portable
GC,2004,Racing,10000,0,0,0,console
X360,2015,Platform,80000,0,0,10000,console
DS,2010,Misc,80000,0,0,10000,portable
DC,2001,Racing,0,0,70000,0,console
SAT,1995,Shooter,0,0,370000,0,console
PS3,2015,Action,0,20000,0,0,console
PS3,2007,Action,320000,40000,10000,40000,console
PC,2006,Role-Playing,0,20000,0,0,pc
PS2,2008,Adventure,0,0,20000,0,console
PSP,2008,Action,60000,0,220000,10000,portable
N64,1998,Racing,230000,60000,0,0,console
GBA,2003,Misc,30000,10000,0,0,portable
XOne,2014,Racing,240000,340000,0,50000,console
Wii,2010,Sports,530000,20000,0,40000,console
X360,2012,Shooter,100000,60000,0,20000,console
PC,2010,Adventure,0,30000,0,10000,pc
PC,2003,Shooter,0,20000,0,0,pc
DS,2008,Role-Playing,0,0,110000,0,portable
GC,2005,Simulation,190000,50000,0,10000,console
PSV,2015,Role-Playing,0,0,30000,0,portable
PS,2001,Shooter,30000,20000,0,0,console
PSP,2006,Action,80000,0,0,10000,portable
Wii,2011,Platform,110000,60000,0,20000,console
GBA,2004,Simulation,370000,220000,0,30000,portable
PS2,2006,Action,130000,100000,0,30000,console
DC,1998,Platform,1260000,610000,460000,80000,console
PS,2000,Sports,70000,50000,0,10000,console
DS,2006,Action,390000,0,0,30000,portable
PC,2014,Sports,0,270000,0,30000,pc
Wii,2012,Action,120000,20000,0,10000,console
WiiU,2014,Action,30000,20000,0,0,portable
Wii,2008,Action,0,0,10000,0,console
PS,1999,Action,120000,80000,0,10000,console
PC,2011,Adventure,0,10000,0,0,pc
X360,2009,Platform,100000,0,0,10000,console
PC,2010,Role-Playing,580000,450000,0,140000,pc
PS,1997,Action,40000,30000,0,0,console
GC,2004,Shooter,120000,30000,0,0,console
PSV,2016,Action,0,0,10000,0,portable
X360,2012,Role-Playing,1940000,860000,30000,240000,console
GBA,2004,Shooter,0,0,80000,0,portable
PS2,2007,Adventure,0,0,170000,0,console
PS2,2003,Sports,20000,20000,0,10000,console
X360,2008,Role-Playing,180000,0,10000,10000,console
X360,2011,Sports,2310000,140000,10000,160000,console
DS,2008,Action,190000,10000,0,20000,portable
PS2,2001,Action,0,0,60000,0,console
SNES,1992,Puzzle,0,0,570000,0,console
PS3,2009,Misc,110000,260000,0,80000,console
PS,1999,Shooter,10000,10000,0,0,console
DS,2008,Adventure,0,0,40000,0,portable
DS,2010,Misc,0,70000,0,10000,portable
3DS,2013,Platform,50000,40000,0,10000,portable
PS2,2004,Action,40000,30000,360000,10000,console
PS3,2007,Sports,140000,0,0,10000,console
Wii,2007,Sports,0,0,30000,0,console
X360,2012,Shooter,240000,120000,0,30000,console
PC,2016,Fighting,0,50000,0,0,pc
PS,2001,Action,570000,870000,20000,90000,console
GC,2003,Platform,50000,10000,0,0,console
PS3,2013,Simulation,0,0,30000,0,console
N64,1998,Racing,350000,60000,0,0,console
PS2,2006,Adventure,0,0,20000,0,console
SAT,1995,Misc,0,0,190000,0,console
SAT,1997,Role-Playing,0,0,260000,0,console
PS2,2004,Sports,1030000,320000,0,90000,console
XOne,2015,Action,260000,160000,0,40000,console
DS,2005,Simulation,820000,70000,0,70000,portable
PS2,2002,Action,100000,80000,0,30000,console
PSP,2011,Adventure,0,0,30000,0,portable
Wii,2008,Simulation,210000,0,0,20000,console
PS,1997,Sports,140000,90000,460000,50000,console
N64,2000,Action,400000,90000,0,10000,console
SNES,1991,Simulation,930000,270000,750000,40000,console
Wii,2009,Misc,330000,210000,0,60000,console
PS2,2001,Shooter,20000,20000,0,10000,console
DS,2006,Action,230000,0,0,20000,portable
PS3,2013,Action,560000,440000,90000,210000,console
PS3,2009,Role-Playing,960000,440000,80000,220000,console
PS2,2004,Strategy,40000,30000,0,10000,console
X360,2012,Sports,290000,180000,0,40000,console
PS,1998,Racing,170000,120000,0,20000,console
PS2,2002,Racing,0,0,20000,0,console
GC,2006,Sports,480000,130000,0,20000,console
DS,2008,Sports,1640000,2480000,440000,580000,portable
PS3,2009,Action,130000,60000,0,30000,console
GBA,2005,Role-Playing,40000,10000,0,0,portable
Wii,2010,Sports,40000,0,0,0,console
DS,2010,Role-Playing,560000,100000,270000,50000,portable
3DS,2013,Action,0,0,50000,0,portable
3DS,2013,Action,0,0,260000,0,portable
DS,2010,Action,260000,100000,0,30000,portable
PS,1996,Fighting,10000,10000,0,0,console
GC,2003,Racing,690000,480000,10000,30000,console
DC,2000,Adventure,0,0,60000,0,console
PC,2006,Action,0,20000,0,0,pc
XB,2003,Racing,50000,10000,0,0,console
PS2,2006,Role-Playing,0,0,120000,0,console
GBA,2003,Strategy,60000,20000,0,0,portable
PS2,2007,Adventure,130000,100000,0,30000,console
PC,2008,Shooter,0,20000,0,0,pc
XB,2006,Fighting,20000,0,0,0,console
DS,2005,Action,210000,20000,0,20000,portable
PS,2000,Action,90000,60000,0,10000,console
DS,2008,Action,100000,20000,0,10000,portable
PS3,2011,Role-Playing,0,0,500000,0,console
3DS,2012,Fighting,60000,0,0,0,portable
XB,2005,Action,60000,20000,0,0,console
XB,2004,Racing,80000,20000,0,0,console
PS3,2012,Action,370000,0,0,40000,console
PS3,2015,Action,0,90000,190000,10000,console
XB,2002,Platform,60000,20000,0,0,console
PS3,2013,Adventure,0,0,40000,0,console
Wii,2011,Shooter,60000,0,0,0,console
PS,1998,Fighting,0,0,210000,10000,console
GBA,2005,Role-Playing,90000,30000,620000,20000,portable
PSP,2010,Adventure,0,0,20000,0,portable
3DS,2011,Simulation,120000,0,0,10000,portable
Wii,2008,Racing,500000,320000,20000,100000,console
PSV,2013,Role-Playing,0,0,30000,0,portable
3DS,2011,Misc,100000,40000,40000,10000,portable
PS2,2007,Action,400000,20000,0,70000,console
PSV,2016,Action,0,0,10000,0,portable
PC,2008,Role-Playing,320000,10000,0,0,pc
DS,2011,Sports,70000,0,0,0,portable
N64,1998,Misc,1250000,530000,870000,50000,console
GC,2005,Sports,40000,10000,0,0,console
DS,2007,Misc,0,0,120000,0,portable
Wii,2008,Racing,390000,0,0,30000,console
PS3,2011,Sports,0,70000,0,20000,console
GBA,2003,Platform,20000,10000,0,0,portable
Wii,2010,Misc,90000,20000,0,10000,console
PC,2002,Action,0,40000,0,10000,pc
GBA,2002,Adventure,10000,0,0,0,portable
PS,1998,Sports,10000,10000,0,0,console
PS3,2015,Role-Playing,0,0,30000,0,console
SNES,1991,Sports,0,0,200000,0,console
PS,2000,Misc,50000,30000,0,10000,console
Wii,2008,Simulation,270000,0,0,20000,console
PS,1998,Action,10000,10000,0,0,console
PS2,2003,Shooter,300000,230000,0,80000,console
Wii,2010,Misc,0,80000,0,10000,console
PS2,2002,Adventure,220000,170000,0,60000,console
X360,2013,Shooter,920000,530000,30000,130000,console
PS2,2004,Racing,690000,540000,0,180000,console
X360,2012,Action,580000,470000,10000,100000,console
XOne,2014,Sports,280000,230000,0,40000,console
Wii,2011,Misc,270000,40000,170000,20000,console
XB,2004,Shooter,1240000,450000,0,70000,console
PS2,2003,Adventure,210000,160000,0,50000,console
XB,2006,Racing,30000,10000,0,0,console
PS2,2007,Misc,0,0,30000,0,console
PS2,2002,Action,160000,130000,0,40000,console
XB,2004,Shooter,460000,60000,0,20000,console
XOne,2013,Sports,410000,660000,0,120000,console
X360,2011,Action,130000,70000,0,20000,console
PS3,2010,Racing,250000,760000,80000,270000,console
PSP,2013,Adventure,0,0,30000,0,portable
GC,2002,Action,860000,270000,10000,40000,console
N64,2001,Platform,530000,220000,0,20000,console
GB,1995,Puzzle,0,0,620000,0,portable
PS2,2000,Simulation,280000,220000,230000,70000,console
PS3,2008,Sports,160000,0,0,10000,console
PS4,2015,Action,20000,0,0,10000,console
NES,1983,Sports,730000,100000,2350000,20000,console
X360,2012,Action,550000,150000,30000,60000,console
GBA,2003,Simulation,80000,30000,0,0,portable
Wii,2007,Shooter,110000,0,0,10000,console
N64,1998,Fighting,0,0,40000,30000,console
GC,2003,Action,60000,20000,0,0,console
PS2,2006,Sports,170000,130000,20000,40000,console
PSP,2007,Racing,0,10000,0,0,portable
PS3,2014,Shooter,1540000,1940000,190000,770000,console
PS2,2001,Action,0,0,40000,0,console
3DS,2014,Simulation,0,0,30000,0,portable
3DS,2014,Adventure,0,0,20000,0,portable
N64,2001,Sports,0,0,150000,0,console
PS,1995,Shooter,30000,20000,70000,10000,console
Wii,2008,Racing,110000,10000,0,10000,console
DS,2008,Strategy,0,0,70000,0,portable
GC,2001,Sports,470000,120000,0,20000,console
NES,1984,Platform,0,0,690000,0,console
PS2,2007,Fighting,0,0,60000,0,console
SNES,1992,Role-Playing,0,0,970000,0,console
PS3,2007,Action,1020000,970000,0,390000,console
PS2,2009,Action,130000,70000,0,440000,console
XB,2003,Fighting,210000,60000,0,10000,console
PS,1997,Adventure,50000,40000,0,10000,console
PS3,2010,Shooter,290000,340000,200000,130000,console
PS3,2010,Action,500000,720000,40000,260000,console
PS3,2007,Sports,290000,50000,0,40000,console
X360,2011,Action,280000,130000,10000,40000,console
3DS,2015,Misc,0,0,110000,0,portable
DS,2005,Sports,20000,0,0,0,portable
GBA,2001,Puzzle,40000,10000,0,0,portable
DS,2006,Sports,30000,0,0,0,portable
PS,1997,Strategy,0,0,490000,30000,console
PS2,2009,Action,110000,10000,0,160000,console
PS2,2000,Adventure,0,0,90000,0,console
PSP,2011,Role-Playing,0,0,360000,0,portable
WiiU,2013,Platform,1270000,620000,180000,160000,portable
PS2,2001,Action,40000,30000,0,10000,console
DS,2008,Puzzle,420000,80000,0,40000,portable
DS,2010,Adventure,0,70000,0,10000,portable
PS3,2007,Sports,0,0,20000,0,console
PS2,2003,Action,540000,350000,460000,100000,console
DS,2010,Simulation,0,0,10000,0,portable
DS,2010,Action,150000,0,0,10000,portable
PS,2001,Sports,1090000,490000,20000,70000,console
DS,2005,Puzzle,3440000,5360000,5320000,1180000,portable
PS2,2003,Fighting,500000,20000,0,80000,console
X360,2011,Sports,160000,0,0,10000,console
PS2,2005,Racing,120000,90000,0,30000,console
X360,2008,Simulation,280000,0,0,20000,console
GC,2002,Platform,550000,140000,0,20000,console
3DS,2014,Action,280000,310000,50000,50000,portable
DS,2007,Shooter,60000,0,0,0,portable
3DS,2013,Platform,730000,620000,400000,120000,portable
PC,2009,Shooter,10000,30000,0,10000,pc
Wii,2006,Platform,60000,10000,0,10000,console
PC,2012,Shooter,420000,410000,0,110000,pc
Wii,2009,Adventure,70000,40000,0,10000,console
PS,1997,Strategy,20000,10000,0,0,console
3DS,2013,Adventure,160000,200000,530000,30000,portable
Wii,2007,Fighting,0,0,10000,0,console
PS4,2014,Action,0,50000,10000,10000,console
XOne,2014,Misc,150000,30000,0,0,console
NES,1992,Fighting,40000,10000,20000,0,console
PSP,2011,Fighting,120000,40000,0,30000,portable
DS,2007,Strategy,70000,250000,0,40000,portable
3DS,2015,Role-Playing,30000,0,120000,0,portable
DS,2007,Misc,0,0,270000,0,portable
X360,2011,Sports,550000,100000,0,50000,console
PC,2009,Racing,0,30000,0,10000,pc
GC,2002,Adventure,10000,0,150000,0,console
3DS,2014,Role-Playing,670000,490000,2620000,110000,portable
PS3,2009,Racing,140000,30000,0,20000,console
X360,2010,Shooter,550000,400000,0,110000,console
NES,1988,Sports,100000,0,1080000,0,console
PS3,2010,Fighting,290000,220000,0,90000,console
GBA,2004,Platform,160000,60000,0,0,portable
PSP,2007,Action,40000,0,0,0,portable
Wii,2007,Strategy,220000,30000,80000,20000,console
PSP,2012,Role-Playing,0,0,70000,0,portable
PSP,2005,Strategy,110000,20000,0,20000,portable
3DS,2015,Action,0,0,30000,0,portable
X360,2012,Action,110000,20000,20000,10000,console
PS2,2007,Misc,110000,90000,0,30000,console
PS4,2013,Sports,140000,50000,0,30000,console
PS3,2006,Racing,0,570000,40000,0,console
PS2,2010,Adventure,0,0,50000,0,console
XB,2002,Shooter,1230000,460000,0,70000,console
GC,2002,Platform,30000,10000,0,0,console
PSP,2010,Adventure,80000,30000,0,20000,portable
GC,2004,Strategy,480000,130000,560000,30000,console
DS,2008,Misc,0,0,80000,0,portable
DS,2009,Sports,80000,0,0,10000,portable
GBA,2004,Action,210000,80000,0,10000,portable
PS3,2009,Strategy,130000,20000,0,20000,console
PS,1996,Action,2290000,1970000,130000,240000,console
PSP,2011,Role-Playing,130000,30000,110000,30000,portable
PS3,2011,Action,50000,10000,0,10000,console
PC,2009,Platform,0,20000,0,10000,pc
PSP,2008,Misc,130000,0,10000,10000,portable
DS,2009,Misc,10000,0,0,0,portable
PS,1998,Action,80000,50000,0,10000,console
PS3,2008,Racing,630000,1020000,50000,390000,console
PS3,2012,Shooter,880000,1750000,100000,720000,console
DS,2008,Misc,80000,0,0,10000,portable
PSP,2008,Role-Playing,0,0,70000,0,portable
XB,2005,Action,210000,60000,0,10000,console
XB,2001,Action,50000,10000,0,0,console
XB,2003,Action,110000,30000,0,10000,console
PS3,2008,Role-Playing,320000,40000,110000,40000,console
N64,1996,Racing,5550000,1940000,2230000,150000,console
PS3,2009,Action,210000,220000,50000,90000,console
N64,1997,Fighting,1370000,280000,30000,20000,console
3DS,2012,Action,300000,220000,300000,50000,portable
PS,1997,Puzzle,0,0,1070000,70000,console
DC,2000,Action,410000,230000,470000,30000,console
GBA,2005,Platform,330000,120000,0,10000,portable
DS,2007,Sports,460000,10000,0,0,portable
PS3,2014,Adventure,50000,30000,0,20000,console
PS3,2012,Action,130000,400000,0,160000,console
PSP,2011,Adventure,0,0,30000,0,portable
Wii,2010,Puzzle,20000,0,0,0,console
PS3,2012,Action,190000,100000,110000,50000,console
DS,2012,Sports,80000,0,0,10000,portable
DS,2009,Puzzle,0,210000,0,20000,portable
DS,2008,Simulation,110000,0,0,10000,portable
PSP,2009,Strategy,0,0,180000,0,portable
Wii,2009,Misc,140000,0,0,10000,console
